BrandName,category,Individual_category,discounted_price,OriginalPrice (in Rs),Discount,SizeOption,ratings,Reviews
MBE,Indian Wear,kurtis,540,1799,70%,"M, L, XL, XXL",4.4,19
Domyos By Decathlon,Sports Wear,sweatshirts,1329,1399,5%,"XS, S, M, L, XL, XXL",4.3,
Harvard,Sports Wear,track-pants,560,1399,60%,"S, M, L, XL",4.2,
Cultsport,Sports Wear,tights,1000,1999,50%,"S, M, L, XL, XXL",4.4,
Harvard,Sports Wear,track-pants,520,1299,60%,"S, M, L, XL",3.9,
Kalenji By Decathlon,Sports Wear,tights,600,1199,50%,"XS, S, M, L, XL, XXL",3.9,
appulse,Sports Wear,tshirts,600,1199,50%,"S, M, L, XL, XXL",4.2,
Nike,Sports Wear,tshirts,1121,1495,25%,"XS, S, M, L, XL, XXL",4.5,
Harvard,Sports Wear,track-pants,525,1499,65%,"S, M, L, XL",4.1,
Laabha,Sports Wear,track-pants,640,1599,60%,"XS, S, M, L, XL, XXL",3.9,
HRX by Hrithik Roshan,Sports Wear,track-pants,950,1899,50%,"XS, S, M, L, XL",4.4,
Campus Sutra,Sports Wear,track-pants,560,1399,60%,"M, L, XL",3.8,
HRX by Hrithik Roshan,Sports Wear,track-pants,950,1899,50%,"XS, S, M, L, XL",4.3,
C9 AIRWEAR,Sports Wear,shorts,412,549,25%,"24, 26, 28, 30",4.3,
Reebok,Sports Wear,tights,2079,3999,48%,"XXS, XS, S, M, L, XL",4.9,9
Puma,Sports Wear,track-pants,2000,3999,50%,"XS, S, M, L, XL",4.2,9
UNDER ARMOUR,Sports Wear,tshirts,2000,3999,50%,"XS, S, M, L, XL",4.1,9
UNDER ARMOUR,Sports Wear,tights,2000,3999,50%,"S, M, L, XL",4.6,9
Puma,Sports Wear,sweatshirts,2699,4499,40%,"XS, S, M, L, XL",5,9
ADIDAS,Sports Wear,tights,2621,4599,43%,"XS, S, M, L, XL",3.8,9
 LIMITS,Sports Wear,tshirts,424,499,15%,"XS, S, M, L, XL",3.6,9
 LIMITS,Sports Wear,tshirts,424,499,15%,"XS, S, M, L, XL",4.7,9
Puma,Sports Wear,tights,2500,4999,50%,"XS, S, M, L, XL, XXL",4.1,9
Chkokko,Sports Wear,tracksuits,1400,4999,72%,"S, M, L, XL, XXL, 3XL",3.9,9
Puma,Sports Wear,track-pants,3249,4999,35%,"XS, S, M, L, XL",4.8,9
Puma,Sports Wear,track-pants,2000,4999,60%,"XS, S, M, L, XL",4.7,9
Rosaline by Zivame,Sports Wear,tshirts,220,549,60%,"XS, S, M, L, XL, XXL",3.4,9
PICOT,Sports Wear,tights,549,549,,"XS, S, M, L, XL, XXL",4.3,9
Ajile by Pantaloons,Sports Wear,tops,479,599,20%,"S, M, L, XL, XXL",4.4,9
GRIFFEL,Sports Wear,tracksuits,1980,5999,67%,"S, M, L, XL, XXL",4.2,9
ADIDAS Originals,Sports Wear,track-pants,3000,5999,50%,"XXS, XXS/XS, XS, XS/S, S, S/M, M, M/L, L, L/XL, XL",4.7,9
Chkokko,Sports Wear,tracksuits,1000,6665,85%,"S, M, L, XL, XXL, 3XL",3.7,9
HRX by Hrithik Roshan,Sports Wear,tshirts,384,699,45%,"XS, S, M, L, XL",4.3,9
Ajile by Pantaloons,Sports Wear,tops,524,699,25%,"S, M, L, XL, XXL",3.3,9
C9 AIRWEAR,Sports Wear,capris,629,699,10%,"28, 30, 32, 34, 36",4.6,9
Sweet Dreams,Sports Wear,tshirts,664,699,5%,"S, M, L, XL",4.8,9
Proline Active,Sports Wear,tshirts,559,699,20%,"S, M, L, XL, XXL",3.7,9
Okane,Sports Wear,track-pants,438,730,40%,"M, L, XL, XXL",3.6,9
appulse,Sports Wear,tshirts,400,799,50%,"S, M, L, XL, XXL",4.8,9
appulse,Sports Wear,tshirts,400,799,50%,"S, M, L, XL, XXL",4,9
appulse,Sports Wear,tshirts,400,799,50%,"S, M, L, XL, XXL",4.1,9
