BrandName,Category,Individual_category,Description,discount_price,original_price,discount,SizeOption,ratings,reviews
Ruggers,Bottom Wear,trousers,ruggers men beige slim fit solid regular trousers,999,1199,Rs. 200 ,"30, 32, 34, 36, 38",3.4,9
Black Panther,Bottom Wear,track-pants,black panther men grey slim fit joggers,1079,1199,10%,"S, M, L, XL, XXL, 3XL",3.8,9
DEYANN,Indian Wear,kurtas,deyann men yellow solid straight kurta,636,1590,60%,"S, M, L, XL, XXL, 3XL",3.3,9
Jompers,Indian Wear,kurta-sets,jompers men brown  maroon printed kurta with churidar,798,1699,53%,"S, M, L, XL, XXL",3.9,9
The Indian Garage Co,Indian Wear,kurtas,the indian garage co men violet kurta,526,1699,69%,"S, M, L, XL, XXL, 3XL",3.4,9
Fabindia,Indian Wear,kurtas,fabindia men navy blue  grey pure cotton paisley print indigo kurta,1611,1790,10%,"XS, S, M, L, XL, XXL",4.7,9
DEYANN,Indian Wear,dhotis,devyaan men grey  black printed dhoti,696,1990,65%,"S, M, L, XL, XXL, 3XL",4.7,9
DENNISON,Indian Wear,kurtas,dennison men taupe melange effect straight comfort slim fit short kurta,699,1999,65%,"S, M, L",4.6,9
KHADIO,Indian Wear,kurtas,khadio men yellow solid kurta,599,1999,70%,"M, L, XL, XXL",4.6,9
Jompers,Indian Wear,kurta-sets,jompers men blue  black woven design kurta with churidar,999,1999,50%,"S, M, L, XL, XXL",4.1,9
Benstoke,Indian Wear,kurta-sets,benstoke men grey layered kurta with churidar,899,1999,55%,"S, M, L, XL, XXL",2.6,9
See Designs,Indian Wear,kurtas,see designs men orange solid kurta,769,2199,65%,"XS, S, M, L, XL, XXL",2.7,9
Benstoke,Indian Wear,kurta-sets,benstoke men navy blue  white solid angrakha kurta with trousers,749,2499,70%,"S, M, L, XL, XXL",3.3,9
Jompers,Indian Wear,nehru-jackets,jompers men mustard  white embroidered nehru jacket,999,2499,60%,"S, M, L, XL, XXL",5,9
Taavi,Indian Wear,kurtas,taavi men teal blue  brown ajrakh striped kurta with roll up sleeves,1159,2899,60%,"S, M, L, XL, XXL",2.6,9
DEYANN,Indian Wear,kurtas,deyann men off white printed straight kurta,1046,2990,65%,"S, M, L, XL, XXL, 3XL",3.8,9
DEYANN,Indian Wear,kurta-sets,deyann men blue  cream coloured woven design kurta with churidar,1046,2990,65%,"S, M, L, XL, XXL, 3XL",4.1,9
LAMAAYA,Indian Wear,patiala,lamaaya men white solid patiala ,1495,2990,50%,"S, M, L, XL, XXL, 3XL",3.7,9
SOJANYA,Indian Wear,kurtas,sojanya men grey  white woven design straight kurta,1499,2999,50%,"M, L, XL, XXL",3.1,9
Vartah,Indian Wear,kurtas,vartah men maroon floral printed kurta,1799,2999,40%,"S, M, L, XL",2.4,9
DEYANN,Indian Wear,nehru-jackets,deyann men cream coloured jacquard nehru jacket,1436,3590,60%,"S, M, L, XL, XXL, 3XL",3.3,9
MAXENCE,Indian Wear,shawl,maxence men multicoloured printed shawl,1439,3599,60%,Onesize,2.7,9
DEYANN,Indian Wear,kurta-sets,deyann men peach coloured  white printed kurta with pyjamas,1606,4590,65%,"S, M, L, XL, XXL, 3XL",3.3,9
DEYANN,Indian Wear,kurta-sets,deyann men blue self design kurta with pyjamas,2065,4590,55%,"S, M, L, XL, XXL, 3XL",2.9,9
KLOTTHE,Indian Wear,nehru-jackets,klotthe men grey checked woven nehru jacket,978,4659,79%,"M, L, XL, XXL, 3XL",4.3,9
Peter England Casuals,Bottom Wear,jeans,peter england casuals men black slim fit low distress light fade jeans,2124,2499,15%,"28, 30, 32, 34, 36, 38, 40",1,6
The Indian Garage Co,Bottom Wear,trousers,the indian garage co men olive green slim fit solid chinos,797,1899,58%,"28, 30, 32, 34, 36, 38",1,5
Peter England Casuals,Topwear,jackets,peter england casuals men olive green sporty jacket,1749,3499,50%,"S, M, L, XL, XXL, 3XL",1,5
FEVER,Bottom Wear,jeans,fever men blue straight fit mid rise clean look jeans,1594,2899,45%,"38, 40, 42, 44, 46, 48",1,4
Luxrio,Topwear,blazers,luxrio men lavender solid twill slim fit single breasted formal blazer,2399,5999,60%,"36, 38, 40, 42",1,4
SPYKAR,Bottom Wear,jeans,spykar men blue super skinny fit low rise clean look jeans,1799,3599,50%,"30, 32, 34, 36, 38",1,3
NYAMBA By Decathlon,Sports Wear,tshirts,nyamba by decathlon men grey typography printed t shirt,755,899,16%,"S, M, L, XL, XXL, 3XL, 4XL",1.3,4
Pepe Jeans,Topwear,shirts,pepe jeans men navy blue  off white regular fit printed casual shirt,1019,1699,40%,"38, 40, 42, 44, 46",1.3,4
Excalibur,Topwear,shirts,excalibur men blue slim fit solid formal shirt,559,799,30%,"39, 40, 42, 44",1.3,4
NEVA,Bottom Wear,shorts,neva men blue mid rise regular shorts,584,649,10%,"32, 34, 36, 38",1.3,3
LOCOMOTIVE,Bottom Wear,jeans,locomotive men blue slim fit mildly distressed heavy fade stretchable jeans,699,1999,65%,"30, 32, 34, 36",1.5,11
Ode by House of Pataudi,Indian Wear,kurtas,ode by house of pataudi men green  gold toned woven design kurta,769,2199,65%,"XS, S, M, L, XL",1.5,10
C9 AIRWEAR,Inner Wear &  Sleep Wear,innerwear-vests,c9 airwear men white solid innerwear vest p15002white,301,549,45%,"M, L, XL, XXL, 3XL",1.5,10
Pepe Jeans,Bottom Wear,jeans,pepe jeans men black slim fit low rise clean look stretchable jeans,1749,3499,50%,"28, 30, 32, 34, 36, 38, 40",1.5,8
Friskers,Inner Wear &  Sleep Wear,innerwear-vests,friskers men navy blue  white printed cotton apple cut gym vest,543,849,36%,"S, M, L, XL, XXL",1.5,6
Aeropostale,Topwear,tshirts,aeropostale men grey printed round neck t shirt,539,899,40%,"XS, S, M, L, XL",1.6,21
Purple State,Inner Wear &  Sleep Wear,boxers,purple state men blue  black checked cotton boxer,269,999,73%,"S, M, L, XL",1.6,9
Hangup,Bottom Wear,trousers,hangup men maroon regular fit solid formal trousers,774,2499,69%,"30, 32, 34, 36, 38",1.6,5
FITUP LIFE,Bottom Wear,track-pants,fitup life men grey solid training track pants,959,1599,40%,"S, M, L, XL, XXL",1.6,5
HERE&NOW,Bottom Wear,jeans,herenow men blue skinny fit mid rise clean look jeans,524,1499,65%,"28, 30, 32, 34, 36",1.7,6
WROGN,Topwear,shirts,wrogn men olive green slim fit printed casual shirt,1154,2099,45%,"39, 40, 42, 44, 46",1.7,6
SF JEANS by Pantaloons,Bottom Wear,jeans,sf jeans by pantaloons men blue skinny fit low rise clean look stretchable jeans,1099,1999,45%,"28, 30, 32, 34, 36",1.7,3
Hangup,Indian Wear,kurta-sets,hangup men blue linen kurta with pyjamas,959,3999,76%,"M, L, XL, XXL, 3XL, 4XL, 5XL, 6XL",1.7,3
DEYANN PLUS,Indian Wear,kurta-sets,deyann plus men maroon  champagne woven design kurta with churidar,2245,4990,55%,"XXL, 3XL, 4XL, 5XL, 6XL",1.7,3
HIGHLANDER,Topwear,shirts,highlander men pink  beige slim fit checked casual shirt,740,1299,43%,"39, 40, 42, 44",1.8,27
Louis Philippe,Bottom Wear,trousers,louis philippe men navy blue slim fit solid formal trousers,1139,1899,40%,"28, 30, 32, 34, 36",1.8,18
Peter England Casuals,Bottom Wear,jeans,peter england casuals men navy blue skinny fit mid rise clean look stretchable jeans,999,1999,50%,"28, 30, 32, 34, 36, 38, 40",1.8,9
Maniac,Bottom Wear,track-pants,maniac men navy blue solid slim fit joggers,449,1799,75%,"S, M, L, XL",1.8,9
Louis Philippe,Topwear,shirts,louis philippe men white cotton classic fit formal shirt,1229,2049,40%,44,1.9,10
Urban Dog,Bottom Wear,track-pants,urban dog men charcoal grey slim fit solid joggers,449,999,55%,"M, L, XL, XXL",2,18
Ode by House of Pataudi,Indian Wear,kurtas,ode by house of pataudi men magenta  gold toned printed kurta,769,2199,65%,"XS, S, M, L, XL",2,17
Ode by House of Pataudi,Indian Wear,kurtas,ode by house of pataudi men orange kurta,769,2199,65%,"XS, S, M, L, XL",2,14
Luxrio,Topwear,blazers,luxrio men white solid twill slim fit single breasted formal blazer,2399,5999,60%,"36, 38, 40, 42",2,14
Campus Sutra,Bottom Wear,jeans,campus sutra men navy blue slim fit low distress light fade stretchable jeans,816,1899,57%,"28, 30, 32, 34, 36",2,9
SPYKAR,Bottom Wear,jeans,spykar men blue tapered fit low rise clean look jeans,1799,2999,40%,"28, 30, 32, 34, 36, 38",2,3
Hancock,Bottom Wear,trousers,hancock men brown slim fit solid chinos,799,1999,60%,"30, 32, 34, 36, 38",2,3
Pepe Jeans,Topwear,tshirts,pepe jeans men black abstract print slim fit cotton t shirt,1439,1799,20%,"S, M, L, XL, XXL, 3XL",2,2
Indian Terrain,Topwear,shirts,indian terrain men yellow slim fit pure cotton formal shirt,899,1799,50%,46,2,2
Van Heusen,Topwear,shirts,van heusen men mauve slim fit formal shirt,1954,2299,15%,38,2,2
Allen Solly Sport,Bottom Wear,jeans,allen solly sport men navy blue skinny fit light fade jeans,1999,2499,20%,"28, 30, 32, 34, 36, 38, 40, 42, 44",2,1
ARDEUR,Bottom Wear,shorts,ardeur men navy blue training or gym sports shorts,479,1499,68%,"30, 32, 34, 36",2,1
Peter England,Bottom Wear,trousers,peter england men black slim fit checked formal trousers,769,1399,45%,"26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50",2.2,39
HERE&NOW,Bottom Wear,jeans,herenow men blue slim fit mid rise clean look stretchable jeans,944,2099,55%,"28, 30, 32, 34, 36",2.2,24
Chkokko,Sports Wear,tshirts,chkokko men black solid dri fit round neck t shirt,579,1999,71%,"S, M, L, XL, XXL, 3XL",2.2,16
GRACIT,Bottom Wear,jeans,gracit men blue skinny fit stretchable jeans,827,1199,31%,"28, 30, 32, 34, 36",2.2,11
Pepe Jeans,Topwear,shirts,pepe jeans men blue regular fit checked casual shirt,1079,1799,40%,"40, 42, 44, 46, 48, 50",2.2,10
The Indian Garage Co,Topwear,blazers,the indian garage co men brown solid single breasted blazer,1664,3699,55%,"38, 40, 42, 44, 46",2.3,29
DEYANN,Indian Wear,kurtas,deyann men peach coloured solid straight kurta,1256,3590,65%,"S, M, L, XL, XXL, 3XL",2.3,22
